JUDGE,TAT_4DIELEC_FIRE
양품,6627.0
양품,6540.0
양품,6540.0
양품,6420.0
양품,6480.0
양품,6507.0
양품,6420.0
양품,6540.0
양품,6453.0
양품,6480.0
명점,6453.0
양품,6480.0
양품,6420.0
양품,6420.0
양품,6600.0
양품,6447.0
양품,6633.0
양품,6480.0
양품,6447.0
양품,6453.0
양품,6480.0
양품,6540.0
양품,6453.0
양품,6507.0
양품,6600.0
양품,6480.0
양품,6480.0
양품,6480.0
양품,6513.0
명점,6447.0
명점,6540.0
양품,6513.0
양품,6420.0
양품,6453.0
명점,6453.0
양품,6573.0
양품,6480.0
양품,6420.0
양품,6600.0
양품,6600.0
양품,6480.0
양품,6480.0
양품,6453.0
양품,6453.0
양품,6453.0
양품,6453.0
양품,6573.0
양품,6453.0
양품,6540.0
양품,6573.0
양품,6513.0
양품,6453.0
양품,6573.0
양품,6447.0
명점,6507.0
양품,6507.0
양품,6633.0
양품,6507.0
양품,8973.0
양품,6567.0
양품,6540.0
양품,6447.0
양품,6573.0
양품,6633.0
양품,6480.0
양품,6540.0
양품,6420.0
양품,6513.0
양품,6447.0
양품,6420.0
양품,6600.0
양품,6480.0
양품,6507.0
양품,6540.0
명점,6480.0
양품,6540.0
양품,6453.0
명점,6573.0
양품,6510.0
양품,6453.0
양품,6480.0
양품,6600.0
양품,6513.0
양품,6507.0
양품,6447.0
양품,6567.0
양품,6627.0
양품,6540.0
양품,6507.0
명점,6660.0
양품,6480.0
양품,6633.0
명점,6447.0
양품,6480.0
양품,6420.0
양품,6420.0
양품,6453.0
양품,6453.0
양품,6480.0
양품,6633.0
양품,6420.0
양품,6513.0
양품,6453.0
양품,6480.0
양품,6573.0
명점,6540.0
명점,6507.0
양품,6573.0
양품,6480.0
양품,6480.0
양품,6480.0
명점,6747.0
양품,6420.0
양품,6573.0
양품,6480.0
양품,6453.0
양품,6567.0
명점,6540.0
양품,6573.0
양품,6600.0
양품,6453.0
양품,6480.0
양품,6453.0
명점,6540.0
양품,6633.0
양품,6540.0
양품,6447.0
양품,6420.0
양품,6480.0
양품,6567.0
명점,6513.0
양품,6567.0
명점,6447.0
양품,6447.0
양품,6567.0
양품,6513.0
양품,6513.0
양품,6513.0
양품,6420.0
양품,6453.0
양품,6540.0
양품,6453.0
양품,6687.0
양품,6513.0
양품,6480.0
양품,6600.0
양품,6507.0
양품,6540.0
명점,6693.0
양품,6567.0
양품,6567.0
양품,6447.0
양품,6633.0
양품,6480.0
양품,6600.0
명점,6420.0
양품,6480.0
양품,6540.0
양품,6453.0
양품,6480.0
양품,6447.0
양품,6507.0
양품,6447.0
명점,6447.0
